,Week,tesla
45,1/3/16,11
46,1/10/16,11
47,1/17/16,9
48,1/24/16,11
49,1/31/16,13
50,2/7/16,15
51,2/14/16,12
52,2/21/16,11
53,2/28/16,11
54,3/6/16,11
55,3/13/16,11
56,3/20/16,14
57,3/27/16,65
58,4/3/16,36
59,4/10/16,19
60,4/17/16,15
61,4/24/16,14
62,5/1/16,15
63,5/8/16,14
64,5/15/16,13
65,5/22/16,14
66,5/29/16,13
67,6/5/16,14
68,6/12/16,12
69,6/19/16,15
70,6/26/16,18
71,7/3/16,14
72,7/10/16,14
73,7/17/16,14
74,7/24/16,13
75,7/31/16,13
76,8/7/16,12
77,8/14/16,11
78,8/21/16,14
79,8/28/16,13
80,9/4/16,11
81,9/11/16,12
82,9/18/16,12
83,9/25/16,13
84,10/2/16,12
85,10/9/16,12
86,10/16/16,17
87,10/23/16,15
88,10/30/16,15
89,11/6/16,13
90,11/13/16,13
91,11/20/16,13
92,11/27/16,12
93,12/4/16,11
94,12/11/16,12
95,12/18/16,12
96,12/25/16,14
