Week,microsoft
3/1/15,80
3/8/15,80
3/15/15,79
3/22/15,78
3/29/15,76
4/5/15,74
4/12/15,76
4/19/15,78
4/26/15,83
5/3/15,77
5/10/15,77
5/17/15,77
5/24/15,71
5/31/15,78
6/7/15,76
6/14/15,81
6/21/15,76
6/28/15,72
7/5/15,73
7/12/15,77
7/19/15,78
7/26/15,91
8/2/15,90
8/9/15,90
8/16/15,92
8/23/15,93
8/30/15,91
9/6/15,87
9/13/15,87
9/20/15,88
9/27/15,86
10/4/15,100
10/11/15,87
10/18/15,86
10/25/15,86
11/1/15,84
11/8/15,83
11/15/15,82
11/22/15,83
11/29/15,91
12/6/15,87
12/13/15,79
12/20/15,75
12/27/15,68
1/3/16,69
1/10/16,68
1/17/16,69
1/24/16,71
1/31/16,72
2/7/16,68
2/14/16,65
2/21/16,68
2/28/16,66
3/6/16,66
3/13/16,65
3/20/16,69
3/27/16,69
4/3/16,64
4/10/16,65
4/17/16,64
4/24/16,62
5/1/16,62
5/8/16,62
5/15/16,63
5/22/16,60
5/29/16,56
6/5/16,59
6/12/16,70
6/19/16,59
6/26/16,58
7/3/16,55
7/10/16,59
7/17/16,59
7/24/16,61
7/31/16,61
8/7/16,62
8/14/16,64
8/21/16,70
8/28/16,68
9/4/16,65
9/11/16,69
9/18/16,69
9/25/16,69
10/2/16,61
10/9/16,63
10/16/16,64
10/23/16,75
10/30/16,69
11/6/16,60
11/13/16,67
11/20/16,66
11/27/16,74
12/4/16,70
12/11/16,67
12/18/16,60
12/25/16,59
1/1/17,60
1/8/17,66
1/15/17,66
1/22/17,68
1/29/17,68
2/5/17,65
2/12/17,65
2/19/17,63
2/26/17,64
3/5/17,64
3/12/17,62
3/19/17,65
3/26/17,63
4/2/17,61
4/9/17,61
4/16/17,61
4/23/17,63
4/30/17,68
5/7/17,66
5/14/17,66
5/21/17,59
5/28/17,54
6/4/17,58
6/11/17,62
6/18/17,58
6/25/17,58
7/2/17,52
7/9/17,60
7/16/17,57
7/23/17,61
7/30/17,60
8/6/17,61
8/13/17,60
8/20/17,64
8/27/17,68
9/3/17,62
9/10/17,66
9/17/17,68
9/24/17,68
10/1/17,64
10/8/17,62
10/15/17,63
10/22/17,62
10/29/17,61
11/5/17,64
11/12/17,66
11/19/17,63
11/26/17,69
12/3/17,66
12/10/17,65
12/17/17,58
12/24/17,56
12/31/17,58
1/7/18,65
1/14/18,63
1/21/18,67
1/28/18,68
2/4/18,64
2/11/18,62
2/18/18,62
2/25/18,67
3/4/18,62
3/11/18,62
3/18/18,65
3/25/18,62
4/1/18,62
4/8/18,62
4/15/18,61
4/22/18,60
4/29/18,59
5/6/18,61
5/13/18,60
5/20/18,59
5/27/18,56
6/3/18,64
6/10/18,66
6/17/18,58
6/24/18,56
7/1/18,51
7/8/18,60
7/15/18,61
7/22/18,60
7/29/18,61
8/5/18,62
8/12/18,66
8/19/18,67
8/26/18,69
9/2/18,68
9/9/18,67
9/16/18,65
9/23/18,65
9/30/18,66
10/7/18,63
10/14/18,65
10/21/18,62
10/28/18,62
11/4/18,58
11/11/18,62
11/18/18,60
11/25/18,67
12/2/18,63
12/9/18,59
12/16/18,57
12/23/18,51
12/30/18,51
1/6/19,62
1/13/19,63
1/20/19,62
1/27/19,65
2/3/19,62
2/10/19,62
2/17/19,60
2/24/19,59
3/3/19,59
3/10/19,57
3/17/19,57
3/24/19,57
3/31/19,56
4/7/19,56
4/14/19,55
4/21/19,58
4/28/19,57
5/5/19,58
5/12/19,59
5/19/19,56
5/26/19,52
6/2/19,57
6/9/19,64
6/16/19,57
6/23/19,58
6/30/19,48
7/7/19,57
7/14/19,61
7/21/19,58
7/28/19,58
8/4/19,59
8/11/19,63
8/18/19,66
8/25/19,66
9/1/19,64
9/8/19,66
9/15/19,67
9/22/19,66
9/29/19,72
10/6/19,65
10/13/19,63
10/20/19,65
10/27/19,63
11/3/19,67
11/10/19,63
11/17/19,65
11/24/19,58
12/1/19,69
12/8/19,64
12/15/19,60
12/22/19,53
12/29/19,52
1/5/20,63
1/12/20,69
1/19/20,67
1/26/20,66
2/2/20,69
2/9/20,68
2/16/20,66
