,Name,Age,Nationality,Preferred Foot,Height,Weight,Position,Overall
0,L. Messi,31,Argentina,Left,170.18,72.12127260026672,RF,94
1,Cristiano Ronaldo,33,Portugal,Right,187.96,83.00750242672207,ST,94
2,Neymar Jr,26,Brazil,Right,175.26,68.03893641534596,LW,92
3,De Gea,27,Spain,Right,193.04,76.20360878518747,GK,91
4,K. De Bruyne,27,Belgium,Right,180.34,69.85330805308853,RCM,91
5,E. Hazard,27,Belgium,Right,172.72,73.93564423800927,LF,91
6,L. Modrić,32,Croatia,Right,172.72,66.2245647776034,RCM,91
7,L. Suárez,31,Uruguay,Right,182.88,86.18265279277155,RS,91
8,Sergio Ramos,32,Spain,Right,182.88,82.1003166078508,RCB,91
9,J. Oblak,25,Slovenia,Right,187.96,87.08983861164283,GK,90
10,R. Lewandowski,29,Poland,Right,182.88,79.83235206067259,ST,90
11,T. Kroos,28,Germany,Right,182.88,76.20360878518747,LCM,90
12,D. Godín,32,Uruguay,Right,187.96,78.01798042293004,CB,90
13,David Silva,32,Spain,Left,172.72,67.13175059647469,LCM,90
14,N. Kanté,27,France,Right,167.64000000000001,72.12127260026672,LDM,89
15,P. Dybala,24,Argentina,Left,177.8,74.84283005688056,LF,89
16,H. Kane,24,England,Right,187.96,88.90421024938539,ST,89
17,A. Griezmann,27,France,Left,175.26,73.028458419138,CAM,89
18,M. ter Stegen,26,Germany,Right,187.96,84.82187406446464,GK,89
19,T. Courtois,26,Belgium,Left,198.12,96.16169680035563,GK,89
20,Sergio Busquets,29,Spain,Right,187.96,76.20360878518747,CDM,89
21,E. Cavani,31,Uruguay,Right,185.42000000000002,77.11079460405875,LS,89
22,M. Neuer,32,Germany,Right,193.04,92.07936061543487,GK,89
23,S. Agüero,30,Argentina,Right,172.72,69.85330805308853,ST,89
24,G. Chiellini,33,Italy,Left,187.96,84.82187406446464,LCB,89
25,K. Mbappé,19,France,Right,177.8,73.028458419138,RM,88
26,M. Salah,26,Egypt,Left,175.26,71.21408678139544,RM,88
27,Casemiro,26,Brazil,Right,185.42000000000002,83.91468824559335,CDM,88
28,J. Rodríguez,26,Colombia,Left,180.34,78.01798042293004,LAM,88
29,L. Insigne,27,Italy,Right,162.56,58.96707822663317,LW,88
30,Isco,26,Spain,Right,175.26,78.92516624180132,LW,88
31,C. Eriksen,26,Denmark,Right,180.34,76.20360878518747,CAM,88
32,Coutinho,26,Brazil,Right,172.72,68.03893641534596,LW,88
33,P. Aubameyang,29,Gabon,Right,187.96,79.83235206067259,LM,88
34,M. Hummels,29,Germany,Right,190.5,92.07936061543487,LCB,88
35,Marcelo,30,Brazil,Left,175.26,79.83235206067259,LB,88
36,G. Bale,28,Wales,Left,185.42000000000002,82.1003166078508,ST,88
37,H. Lloris,31,France,Left,187.96,82.1003166078508,GK,88
